player_id,wikidata_id,First Name,Last Name,Hand,Country,Height
200434,Q3481844,Shelley,Solomon,U,USA,0
200435,Q2883946,Barbara,Gerken,U,USA,0
200436,Q2938791,Carina,Karlsson,U,SWE,0
200437,Q458541,Annabel,Croft,R,GBR,0
200438,Q13474294,Michaela,Washington,U,USA,0
200439,Q458529,Jenny,Byrne,U,AUS,0
200440,Q96630768,Shawn,Foltz,R,USA,0
200441,Q3263739,Louise,Field,U,AUS,0
200442,Q270408,Andrea,Temesvari,R,HUN,182
200443,Q25505,Sara,Gomer,L,GBR,188
200444,Q3051121,Elise,Burgin,L,USA,0
200445,Q12509,Svetlana,Cherneva,U,RUS,0
200446,NOID,Colleen,Carney,R,AUS,0
200447,Q2825070,Adriana,Villagran Reami,U,ARG,0
200448,Q511115,Sandy,Collins,U,USA,178
200449,Q3377573,Petra,Keppeler,U,GER,0
200450,Q240695,Larisa,Savchenko,U,URS,169
200451,Q2900390,Beverly,Mould,R,RSA,160
200452,Q467706,Tine,Scheuer Larsen,U,DEN,170
200453,Q270182,Catarina,Lindqvist Ryan,R,SWE,165
200454,Q18540695,Myriam,Schropp,U,GER,0
200455,Q259847,Katerina,Maleeva,R,BUL,168
200456,Q16193239,Masako,Yanagi,L,JPN,0
200457,Q2846348,Andrea,Holikova,U,TCH,0
200458,Q84513065,Rebecca,Bryant,U,AUS,0
200459,NOID,Linda,Gates,U,USA,175
200460,Q459614,Regina,Marsikova,U,CZE,0
200461,Q91012931,Lisa,Spain Short,R,USA,0
200462,Q461059,Belinda,Cordwell,L,NZL,175
200463,Q3518905,Terry,Holladay,L,USA,180
200464,Q760698,Ann,Henricksson,U,USA,0
200465,Q3242377,Lisa,Bonder Kreiss,R,USA,0
200466,Q3319632,Molly,Van Nostrand,R,USA,0
200467,Q3162019,Janine,Tremelling,U,AUS,0
200468,Q455713,Hu,Na,U,USA,0
200469,Q289753,Nicole,Bradtke,R,AUS,176
200470,Q96619830,Dee Ann,Hansel,U,USA,0
200471,Q61994729,Jamie,Golder,U,USA,0
200472,Q438296,Helen,Kelesi,R,CAN,0
200473,Q2900386,Beverly,Bowes,R,USA,0
200474,Q6688606,Louise,Allen,U,USA,0
200475,NOID,Lisa,Oneill,U,AUS,0
200476,Q2935183,Cammy,Macgregor,U,USA,168
200477,Q84961979,Susan,Rimes,U,USA,0
200478,Q85010982,Caryn,Copeland Wilson,U,USA,0
200479,Q9253439,Emiko,Okagawa,U,JPN,163
200480,Q73912,Claudia,Porwik,U,GER,0
200481,Q433976,Elna,Reinach,U,RSA,0
200482,Q469585,Judith,Wiesner,R,AUT,0
200483,Q3200377,Kumiko,Okamoto,U,JPN,0
200484,Q2376709,Ann,Devries,R,BEL,0
200485,Q291677,Manon,Bollegraf,R,NED,173
200486,Q3006389,Csilla,Cserepy,U,SUI,0
200487,Q5415090,Eva,Krapl,R,SUI,180
200488,Q16449200,Alison,Scott,U,AUS,0
200489,Q61015681,Yukie,Koizumi,U,JPN,0
200490,NOID,Michaela,Pazderova,U,TCH,0
200491,Q91766,Christina,Singer,U,GER,176
200492,Q56224154,Tina,Mochizuki,R,USA,0
200493,Q16295521,Marianne,Van Der Torre,U,NED,0
200494,NOID,Dianne,Van Rensburg,R,RSA,0
200495,Q225612,Akiko,Kijimuta,U,JPN,0
200496,Q3518919,Terry,Phelps,U,USA,0
200497,Q3174664,Patricia,Hy Boulais,R,CAN,163
200498,Q439559,Michelle,Jaggard Lai,R,AUS,146
200499,Q88335893,Sally,Mccann,U,AUS,0
200500,Q3388382,Pilar,Vasquez,U,PER,0
200501,Q528326,Marianne,Werdel Witmeyer,U,USA,0
200502,Q103943,Andrea,Betzner,U,GER,0
200503,Q516872,Gretchen,Magers,R,USA,170
200504,Q6308507,Julie,Salmon,U,GBR,0
200505,Q22957434,Michelle,Bowrey,R,AUS,0
200506,Q70595,Wiltrud,Probst,R,GER,170
200507,Q47264687,Kathrin,Keil,U,USA,0
200508,Q59528105,Virginie,Paquet,R,FRA,0
200509,Q88325115,Michelle,Turk,U,AUS,0
200510,Q3189264,Julie,Richardson,U,NZL,173
200511,Q11957772,Amy,Jonsson,U,NOR,0
200512,Q66892360,Clare,Thompson,U,AUS,0
200513,Q105817097,Pamela,Jung,U,USA,0
200514,Q3320862,Monique,Javer,R,GBR,0
200515,Q61989467,Lindsay,Bartlett,U,USA,0
200516,Q53870913,Jennifer,Fuchs,U,USA,0
200517,NOID,Xanthe,Adams,U,AUS,0
200518,Q54861511,Paulette,Moreno,U,HKG,0
200519,Q47452642,Sybille,Niox Chateau,U,FRA,0
200520,Q4963529,Sarah,Loosemore,U,GBR,0
200521,Q47939051,Hellas,Ter Riet,U,NED,0
200522,Q440165,Nicole,Jagerman,R,NED,179
200523,Q55064940,Olga,Tsarbopoulou,U,GRE,170
200524,Q88328621,Karen,Deed,R,AUS,0
200525,Q3177059,Jennifer,Goodling,U,USA,0
200526,Q61994658,Carol,Christian,U,USA,0
200527,Q61999521,Maria Christine,Damas,U,FRA,0
200528,Q84281168,Katie,Rickett,R,GBR,0
