Rank  Name                               Rating
586.    Francisco Roig                     90.488 
587.    Sergi Bruguera                     90.104 
588.    Ron Holmberg                       89.814 
589.    Pavol Cervenak                     89.809 
590.    Sammy Giammalva Jr                 89.318 
591.    Francois Jauffret                  88.981 
592.    Ivan Dodig                         88.943 
593.    Frank Ofori                        88.852 
594.    Matt Doyle                         88.816 
595.    Filip Krajinovic                   88.528 
596.    Jorge Lozano                       88.319 
597.    Ricardo Acuna                      88.211 
598.    Peter Curtis                       87.966 
599.    Ernie Fernandez                    87.913 
600.    Ferdi Taygan                       87.907 
601.    Chris Delaney                      87.587 
602.    Andrea Vavassori                    87.44 
603.    Bernard Tomic                       87.35 
604.    Carsten Arriens                    87.279 
605.    Paradorn Srichaphan                86.993 
606.    Chris Guccione                     86.933 
607.    Owen Casey                         86.877 
608.    Marcel Granollers                   86.74 
609.    Veli Paloheimo                     86.591 
610.    Hamed Ul Haq                       86.572 
611.    Pavel Slozil                       86.302 
612.    Dimitru Haradau                    86.189 
613.    Josselin Ouanna                    86.148 
614.    Alexey Kedryuk                     86.129 
615.    Udo Riglewski                      86.074 
616.    Bob Giltinan                       85.688 
617.    David Carter                       85.626 
618.    Florin Segarceanu                  85.464 
619.    Rainer Schuettler                   85.46 
620.    Mark Nielsen                        85.33 
621.    David Rikl                         85.212 
622.    Jonathan Canter                    85.111 
623.    Jim Osborne                        84.994 
624.    Steve Denton                       84.989 
625.    Cedrik Marcel Stebe                84.747 
626.    Olivier Rochus                     84.719 
627.    Roger Taylor                       84.509 
628.    Benjamin Hassan                     84.36 
629.    Sam Querrey                        84.305 
630.    Juan Aguilera                      84.179 
631.    Jean Pierre Courcol                84.168 
632.    Pablo Cuevas                       84.109 
633.    Michal Tabara                      83.945 
634.    Frank Gebert                       83.851 
635.    Clement Ngoran                     83.762 
636.    Byron Black                         83.47 
637.    Marcel Freeman                     83.352 
638.    Dustin Brown                       83.066 
639.    Marc Lopez                         82.944 
640.    Richard Fromberg                   82.809 
641.    Bing Chao Lin                      82.748 
642.    Gilles Muller                      82.691 
643.    Steve Darcis                       82.656 
644.    Janko Tipsarevic                   82.408 
645.    Thomas Hogstedt                     82.25 
646.    Bassam Beidas                      82.081 
647.    Jo-Wilfried Tsonga                 82.051 
648.    Matthew Barton                     82.027 
649.    Grega Zemlja                       81.915 
650.    Horacio De La Pena                 81.845 
651.    Izak Van Der Merwe                  81.77 
652.    John James                         81.693 
653.    Jeff Austin                        81.625 
654.    Marc Kevin Goellner                81.566 
655.    Aki Rahunen                        81.432 
656.    Billy Martin                       81.263 
657.    Radu Albot                         81.225 
658.    Fernon Wibier                      81.204 
659.    Kyle Edmund                        81.088 
660.    Arnaud Boetsch                     81.015 
661.    Wojtek Fibak                       80.968 
662.    Jan Norback                        80.863 
663.    Bernard Fritz                      80.619 
664.    Lew Hoad                           80.438 
665.    Harold Solomon                     80.416 
666.    Jaromir Becka                      80.367 
667.    Rod Frawley                        80.274 
668.    Tarek El Sakka                     80.136 
669.    Bob Bryan                          79.928 
670.    Chris Pridham                      79.807 
671.    Alejandro Hernandez                79.799 
672.    Tom Nijssen                        79.747 
673.    Frederik Nielsen                   79.655 
674.    Clark Graebner                       79.6 
675.    Martin Alund                       79.597 
676.    Michel Kratochvil                  79.378 
677.    Whitney Reed                       79.143 
678.    Quino Munoz                        79.024 
679.    Menno Oosting                      78.903 
680.    Henry Bunis                        78.834 
681.    Jim Pugh                           78.736 
682.    Somdev Devvarman                   78.646 
683.    Danny Sapsford                     78.594 
684.    Zeljko Franulovic                   78.42 
685.    Nick Saviano                       78.326 
686.    Liam Broady                         78.25 
687.    Tomasz Iwanski                     78.217 
688.    Bob Hewitt                         78.106 
689.    Magnus Norman                      77.849 
690.    Werner Zirngibl                    77.837 
691.    Michael Joyce                      77.772 
692.    Gap Taik Ro                        77.756 
693.    Pablo Arraya                       77.725 
694.    Bent Ove Pedersen                  77.613 
695.    Todd Widom                         77.467 
696.    Wolfgang Schranz                   77.359 
697.    Jose De Armas                      77.209 
698.    Tommy Ho                           77.178 
699.    Nick Brown                         77.142 
700.    Mike Collins                       77.066 
701.    Bjorn Phau                         76.998 
702.    Yong Kyu Lim                       76.953 
703.    Pavel Kotov                          76.9 
704.    Stefan Simonsson                   76.897 
705.    Jacek Niedzwiedzki                  76.74 
706.    Patrick Landau                     76.549 
707.    Nicklas Kulti                      76.447 
708.    Yuji Tezuka                        76.429 
709.    Gerard Solves                      76.132 
710.    Juan Manuel Couder                 76.029 
711.    Eric Deblicker                     75.856 
712.    Bong Soo Kim                       75.677 
713.    Morris Skip Strode                  75.62 
714.    Michael Westphal                   75.511 
715.    Vyacheslav Egorov                  75.452 
716.    Charles Owens                       75.42 
717.    Sebastien De Chaunac               75.328 
718.    Olli Rahnasto                       75.25 
719.    Jason Kubler                       75.248 
720.    Eugenio Castigliano                75.086 
721.    Mike Estep                          74.93 
722.    Guido Pella                        74.799 
723.    Jan Erik Lundquist                 74.666 
724.    Bernard Mignot                     74.613 
725.    Peter Feigl                        74.474 
